quarter,level_1,level_2,level_3,value
1991-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,48.5
1991-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2491.1
1991-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,2289.2
1991-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,627.7
1991-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,554.5
1991-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2195.7
1991-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1885.3
1991-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1836.1
1991-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,5038.5
1991-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1267.5
1991-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,343.4
1991-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,49.2
1991-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2541.9
1991-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,2340.2
1991-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,657
1991-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,560.9
1991-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2180.6
1991-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,1950
1991-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,2256.2
1992-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,4647.3
1992-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1246.7
1992-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,347.3
1992-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,44.8
1992-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2323.2
1992-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,2158.2
1992-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,654.5
1992-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,591.1
1992-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2361.1
1992-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,2028.6
1992-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1769.5
1992-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,4990.4
1992-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1249.5
1992-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,367.2
1992-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,41.8
1992-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2381.3
1992-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,2090.7
1992-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,642.1
1992-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,604
1992-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2408.6
1992-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,2126.3
1992-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1750.5
1992-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,5354.5
1992-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1338.6
1992-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,370.7
1992-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,39.3
1992-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2488.6
1992-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,2253.8
1992-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,657.6
1992-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,618.1
1992-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2562.9
1992-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,2146.8
1992-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,2003.1
1992-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,5686.5
1992-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1475.5
1992-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,339.2
1992-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,41.7
1992-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2702.2
1992-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,2245.8
1992-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,679.4
1992-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,638.1
1992-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2682.5
1992-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,2183.4
1992-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,2432.5
1993-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,5508
1993-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1343.2
1993-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,366.6
1993-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,40.9
1993-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2810.9
1993-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,2260.8
1993-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,682.2
1993-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,648.6
1993-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2539.7
1993-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,2250.9
1993-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1951.7
1993-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,5911.9
1993-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1399.7
1993-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,404.7
1993-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,41.9
1993-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,2888.7
1993-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,2352.3
1993-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,684.9
1993-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,726.4
1993-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2819.6
1993-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,2372.3
1993-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,1914.1
1993-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,6246.8
1993-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1514.4
1993-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,441
1993-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,42.7
1993-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,3058.2
1993-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,2524.1
1993-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,707.5
1993-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,733.9
1993-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,2847
1993-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,2382.4
1993-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,2196.9
1993-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,6303.1
1993-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1594
1993-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,440.8
1993-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,43.7
1993-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,3311.5
